Title, Year
"Romance on the High Seas", 1948
"By the Light of the Silvery Moon", 1953
"The Ballad of Josie", 1967
"Calamity Jane", 1953
"Love Me or Leave Me", 1955
"Teacher's Pet", 1958
"Please Don't Eat the Daisies", 1960
"Lover Come Back", 1961
"Midnight Lace", 1960
"The Man Who Knew Too Much", 1956
"Storm Warning", 1951
"April in Paris", 1952
"Kid Galahad", 1937
"Dark Victory", 1939
"Across the Pacific", 1942
"Casablanca", 1942
"Beat the Devil", 1953
"We're No Angels", 1955
"The Big Sleep", 1946
"Knock on Any Door", 1949
"The Harder They Fall", 1956
"Dead Reckoning", 1947
"Dark Passage", 1947
"China Clipper", 1936
"Two Girls and a Sailor", 1944
"Meet the People", 1944
"Two Sisters from Boston", 1946
"The Secret Heart", 1946
"Good News", 1947
"The Three Musketeers", 1948
"Too Young to Kiss", 1951
"The Bride Goes Wild", 1948
"You Can't Run Away from It", 1956
"The Opposite Sex", 1956
"The McConnell Story", 1955
"Battle Circus", 1953
"Don't Go Near the Water", 1957
"Torpedo Run", 1958
"Imitation General", 1958
"It Started with a Kiss", 1959
"The Gazebo", 1960
"The Courtship of Eddie's Father", 1963
"Advance to the Rear", 1964
"The Big Heat", 1953
"Dear Heart", 1964
"Blackboard Jungle", 1955
"Day of the Evil Gun", 1968
"Cimarron", 1960
"Disraeli", 1929
"Eleven Men and a Girl", 1930
"Moby Dick", 1930
"The Housekeeper's Daughter", 1939
"Hollow Triumph", 1948
"The Woman on the Beach", 1947
"I Met My Love Again", 1938
"The Woman in the Window", 1944
"Scarlet Street", 1945
"Man Hunt", 1941
"Father of the Bride", 1950
"Suspiria", 1977
"House of Dark Shadows", 1970
"Father's Little Dividend", 1951
"Mrs. Soffel", 1984
"Father of the Bride", 1991
"Father of the Bride Part II", 1995
"Baby Boom", 1987
"Harry and Walter Go to New York", 1976
"Manhattan Murder Mystery", 1993
"Love and Death", 1975
"Shoot the Moon", 1982
"Annie Hall", 1977
"Interiors", 1978
"Sleeper", 1973
"The Little Drummer Girl", 1984
"The Last of Mrs. Cheyney", 1937
"The Bishop Murder Case", 1930
"David Copperfield", 1935
"A Tale of Two Cities", 1935
"Captain Blood", 1935
"Fingers at the Window", 1942
"The Woman in Green", 1945
"Dressed to Kill", 1946
"The Adventures of Robin Hood", 1938
"The Dawn Patrol", 1938
"Tower of London", 1939
"The Last Days of Pompeii", 1935
"Bathing Beauty", 1944
"Never So Few", 1959
"The Getaway", 1972
"Nevada Smith", 1966
"The Magnificent Seven", 1960
"The Great Escape", 1963
"The Thomas Crown Affair", 1968
"The Blob", 1958
"Bullitt", 1968
"Papillon", 1973
"The Cincinnati Kid", 1965
"Soldier in the Rain", 1963
