Title, Year
"Without Love", 1945
"Adam's Rib", 1949
"Talk About a Stranger", 1952
"The Life and Death of Colonel Blimp", 1943
"A Taste of Honey", 1961
"Dear Heart", 1964
"The Enchanted Cottage", 1945
"Cooley High", 1975
"Greased Lightning", 1977
"The Symbol of the Unconquered", 1920
"The Magic Flute", 1975
"The Red Shoes", 1948
"Bomba, the Jungle Boy", 1949
"Bomba on Panther Island", 1949
"The Lost Volcano", 1950
"The Hidden City", 1950
"The Lion Hunters", 1951
"Elephant Stampede", 1951
"African Treasure", 1952
"Bomba and the Jungle Girl", 1952
"Safari Drums", 1953
"MGM Parade Show #3", 1955
"A Wild Hare", 1940
"Rabbit of Seville", 1950
"What's Opera, Doc?", 1957
"A Night at the Opera", 1935
"Tortoise Beats Hare", 1941
"Tortoise Wins by a Hare", 1943
"Rabbit Transit", 1947
"Walk Don't Run", 1966
"Gorilla My Dreams", 1948
"Hurdy-Gurdy Hare", 1950
"Apes of Wrath", 1959
"King Kong", 1933
"Mighty Joe Young", 1949
"Sprout Wings and Fly", 1983
"Bombardier", 1943
"Dive Bomber", 1941
"Flying High", 1931
"Central Airport", 1933
"Desperate Journey", 1942
"This Man's Navy", 1945
"The Lost Squadron", 1932
"Too Hot to Handle", 1938
"Bugs Bunny Rides Again", 1948
"The Fair Haired Hare", 1951
"Sahara Hare", 1955
"Beau Geste", 1939
"Buccaneer Bunny", 1948
"Mutiny on the Bunny", 1950
"Captain Hareblower", 1954
"Captain Horatio Hornblower", 1951
"Hair-Raising Hare", 1946
"Water, Water Every Hare", 1952
"Dr. Devil and Mr. Hare", 1964
"Frankenstein", 1931
"The Curse of Frankenstein", 1957
"Frankenstein Must Be Destroyed", 1969
"Riding Shotgun", 1954
"Tall Man Riding", 1955
"The Hanging Tree", 1959
"Tension at Table Rock", 1956
"Black Patch", 1957
"The Train Robbers", 1973
"Firecreek", 1968
"Westworld", 1973
"Haredevil Hare", 1948
"The Hasty Hare", 1952
"Hare-way to the Stars", 1958
"Invaders from Mars", 1953
"Bugs and Thugs", 1954
"Bugsy and Mugsy", 1957
"The Unmentionables", 1963
"The Roaring Twenties", 1939
"A Corny Concerto", 1943
"Rhapsody Rabbit", 1946
"Baton Bunny", 1959
"Carnegie Hall", 1947
"The Great Waltz", 1972
"Mary of Scotland", 1936
"Captains Courageous", 1937
"The Last Gangster", 1937
"Of Human Hearts", 1938
"Stagecoach", 1939
"Captain Fury", 1939
"Five Came Back", 1939
"Operation: Rabbit", 1952
"To Hare Is Human", 1956
"Rabbit's Feat", 1960
"Picnic", 1955
"Baseball Bugs", 1946
"Rabbit Punch", 1948
"Bully for Bugs", 1953
"The Brave One", 1956
"Bewitched Bunny", 1954
"Broom-Stick Bunny", 1956
"A Witch's Tangled Hare", 1959
"Hamlet", 1948
"Romeo and Juliet", 1936
"The Golden Arrow", 1962
"Double Trouble", 1967
"It!", 1967
"My Blood Runs Cold", 1965
"Ten Little Indians", 1966
"Look in Any Window", 1961
"Five Minutes to Live", 1961
"Who Killed Teddy Bear?", 1965
"Rabbit Fire", 1951
"Rabbit Seasoning", 1952
"Duck! Rabbit, Duck!", 1953
"Man in the Wilderness", 1971
"Ali Baba Bunny", 1957
"Show Biz Bugs", 1957
"The Abominable Snow Rabbit", 1961
"Palm Springs Weekend", 1963
"Little Red Riding Rabbit", 1944
"Bugs Bunny and the Three Bears", 1944
"Beanstalk Bunny", 1955
"Jack and the Beanstalk", 1952
"The Glass Slipper", 1955
"Tom Thumb", 1958
"Honeymoon Hotel", 1964
"Down to Their Last Yacht", 1934
"Out of the Past", 1941
"Tarzan's Peril", 1951
"Men of Steel", 1938
"Paris Blues", 1961
"Seance on a Wet Afternoon", 1964
"Deathtrap", 1982
"To Have and Have Not", 1944
"Bob Mackie: Naked Illusion", 2024
"Pennies from Heaven", 1981
"Vice Squad", 1953
"Two-Minute Warning", 1976
"The Omega Man", 1971
"The Honeymoon Killers", 1969
"Deep Valley", 1947
"Vice Squad", 1953
"Twice Blessed", 1945
"The Big Store", 1941
"The Importance of Being Earnest", 1952
"Gay Purr-ee", 1962
"Ninotchka", 1939
"Which Way is Up?", 1977
"Krush Groove", 1985
"Within Our Gates", 1920
"Oscar Micheaux: The Superhero of Black Filmmaking", 2021
"Métisse", 1993
"Maîtresse", 1976
"Les Mistons", 1957
"That Midnight Kiss", 1949
"So This Is Love", 1953
"The Kissing Bandit", 1949
"Grounds for Marriage", 1950
"The Toast of New Orleans", 1950
"The Vanishing Virginian", 1942
"Seven Sweethearts", 1942
"The Smiling Lieutenant", 1931
"Broken Lullaby", 1932
"One Hour with You", 1932
"Trouble in Paradise", 1932
"The Shop Around the Corner", 1940
