Title, Year
"Monterey Pop", 1969
"Don't Look Back", 1967
"A Hard Day's Night", 1964
"The Song Remains the Same", 1976
"Jimi Hendrix", 1973
"Tommy", 1975
"Shine a Light", 2008
"That's Entertainment!", 1974
"That's Entertainment! II", 1976
"That's Entertainment! III", 1994
"Soundies: A Musical History", 2007
"Divine Madness", 1980
"Mr. and Mrs. North", 1942
"Three Loves Has Nancy", 1938
"Tom, Dick and Harry", 1941
"No Time for Comedy", 1940
"Love on a Bet", 1936
"Mr. and Mrs. Smith", 1941
"The Ex-Mrs. Bradford", 1936
"Bringing Up Baby", 1938
"My Favorite Wife", 1940
"To Sir, with Love", 1967
"Georgy Girl", 1966
"Gaslight", 1940
"Blow-Up", 1966
"A Clockwork Orange", 1971
"Five and Ten", 1931
"The Bachelor Father", 1931
"Hearts Divided", 1936
"Blondie of the Follies", 1932
"Going Hollywood", 1933
"Ever Since Eve", 1937
"The Florodora Girl", 1930
"Beverly of Graustark", 1926
"Cain and Mabel", 1936
"Spellbound", 1945
"The Manchurian Candidate", 1962
"Nightmare", 1956
"Murder, My Sweet", 1944
"Stranger on the Third Floor", 1940
"MGM Parade Show #23", 1955
"To Please a Lady", 1950
"Homesteader Droopy", 1954
"Two Boobs in a Balloon", 1935
"Believe It or Not #8", 1932
"Up in Smoke", 1957
"The Idol of Clay", 1931
"Cops Is Always Right", 1938
"Lord of the Jungle", 1955
"Soft Drinks and Sweet Music", 1934
"Pal Joey", 1957
"The Lusty Men", 1952
"The Cincinnati Kid", 1965
"Sapphire", 1959
"Faces", 1968
"Shadows", 1959
"Suspense", 1946
"Barry Lyndon", 1975
"Wedding in Monaco", 1956
"Jack of Diamonds", 1967
"The Thief Who Came to Dinner", 1973
"Suspense", 1946
"Trouble Along the Way", 1953
"Her Twelve Men", 1954
"This Could Be the Night", 1957
"The Legend of Lylah Clare", 1968
"Penguin Pool Murder", 1932
"Murder on the Blackboard", 1934
"Murder on a Honeymoon", 1935
"Show People", 1928
"Un carnet de bal", 1937
"As Long as You've Got Your Health", 1966
"Best Foot Forward", 1943
"Bathing Beauty", 1944
"Two Sisters from Boston", 1946
"Good News", 1947
"Girl Crazy", 1943
"For Me and My Gal", 1942
"The Barkleys of Broadway", 1949
"Creature from the Black Lagoon", 1954
"The Private War of Major Benson", 1955
"Bright Victory", 1951
"Tarawa Beachhead", 1958
"Tickle Me", 1965
"McQ", 1974
"Seven Days Ashore", 1944
"Seven Keys to Baldpate", 1947
"Seven Seas to Calais", 1962
"Seven Sweethearts", 1942
"The Seventh Victim", 1943
"Seven Women", 1966
"Seven Days' Leave", 1942
"Seven Hills of Rome", 1957
"Scarface", 1932
"Night After Night", 1932
"You and Me", 1938
"Side Street", 1929
"Love Is a Racket", 1932
"The Woman Racket", 1930
"Live a Little, Love a Little", 1968
"The Trouble with Girls", 1969
"Double Trouble", 1967
"This Is Elvis", 1981
"Speedway", 1968
"Kissin' Cousins", 1964
"It Happened at the World's Fair", 1963
"Jailhouse Rock", 1957
"Viva Las Vegas", 1964
"Elvis: That's the Way It Is", 1970
"Girl Happy", 1965
"Spinout", 1966
"Elvis on Tour", 1972
"Dangerous", 1935
"The Private Lives of Elizabeth and Essex", 1939
"It's Love I'm After", 1937
"The Great Lie", 1941
"All This, and Heaven Too", 1940
"Dark Victory", 1939
"Now, Voyager", 1942
"Young Frankenstein", 1974
"Oh, God!", 1977
"The Black Stallion", 1979
"National Velvet", 1944
"Gypsy Colt", 1954
"God Is My Co-Pilot", 1945
"Pride of the Marines", 1945
"That Way with Women", 1947
"Embraceable You", 1948
"Whiplash", 1948
"Barricade", 1950
"Backfire", 1950
"Blackout", 1954
"The Wizard of Oz", 1939
"The 5,000 Fingers of Dr. T.", 1953
"Jack and the Beanstalk", 1952
"My Dream Is Yours", 1949
"Du Barry Was a Lady", 1943
"Carefree", 1938
"The Purple Gang", 1960
"The Hound and the Rabbit", 1937
"Tale of a Trotter", 1956
"Believe It or Not #9", 1932
"Fighting Fools", 1949
"Port of Peril", 1931
"Customers Wanted", 1939
"Tarzan Triumphs", 1943
"Private Lessons", 1934
"Footlight Parade", 1933
"Jeopardy", 1953
"Ice Station Zebra", 1968
"The Law and Jake Wade", 1958
"Born Yesterday", 1950
"The Solid Gold Cadillac", 1956
"Deadline at Dawn", 1946
"The Carey Treatment", 1972
"Pat Garrett & Billy the Kid", 1973
"La Fiesta de Santa Barbara", 1935
"Sunkist Stars at Palm Springs", 1936
"The Big Store", 1941
"Room Service", 1938
"Deadline at Dawn", 1946
"The Red Shoes", 1948
"From The Mixed-Up Files of Mrs. Basil E. Frankweiler", 1973
"Agatha", 1979
"BUtterfield 8", 1960
"The Magnificent Seven", 1960
"The Dirty Dozen", 1967
"The Star Prince", 1918
"A Man's Story", 2010
"A Dancer's World", 1957
"Wedding in Monaco", 1956
"MGM Parade Show #23", 1955
"In Name Only", 1939
"The Feminine Touch", 1941
"Guilty Hands", 1931
"Mary Stevens, M.D.", 1933
"I Found Stella Parish", 1935
"The Keyhole", 1933
"Mandalay", 1934
"One Way Passage", 1932
"Jewel Robbery", 1932
"Man Wanted", 1932
"Alice Doesn't Live Here Anymore", 1974
"A Star Is Born", 1976
"Pat Garrett & Billy the Kid", 1973
"Blume in Love", 1973
"Rollover", 1981
"Riffraff", 1936
"The Big House", 1930
"Let Us Be Gay", 1930
"Anna Christie", 1930
"Emma", 1932
"Peg O' My Heart", 1933
"Cynara", 1932
"Dinner at Eight", 1933
Without Lying Down - Frances Marion and the Powerful Women in
"Each Dawn I Die", 1939
"They Drive by Night", 1940
"Invisible Stripes", 1940
"Manpower", 1941
"Taxi!", 1932
"The Yellow Cab Man", 1950
"Hollywood My Hometown", 1965
"Baby Doll", 1956
"Period of Adjustment", 1962
"The Roman Spring of Mrs. Stone", 1961
"The Night of the Iguana", 1964
"A Streetcar Named Desire", 1951
"Sweet Bird of Youth", 1962
"Becoming Hitchcock - The Legacy of Blackmail", 2024
"Blackmail", 1929
"Becoming Hitchcock - The Legacy of Blackmail", 2024
"Blackmail", 1929
"Murder!", 1930
"The Skin Game", 1931
"Gallant Bess", 1946
"The Purchase Price", 1932
"The Sheepman", 1958
"The Romance of Rosy Ridge", 1947
"When the Boys Meet the Girls", 1965
"Silver Dollar", 1932
"Hide-Out", 1934
"Seven Brides for Seven Brothers", 1954
"Jo Jo Dancer, Your Life Is Calling", 1986
"Ragtime", 1981
"Fame", 1980
"Eyes Wide Shut", 1999
"The Sea Hawk", 1924
"Captain Blood", 1935
"The Spanish Main", 1945
"The Three Musketeers", 1948
"The Flame and the Arrow", 1950
"Scaramouche", 1952
"The Prisoner of Zenda", 1952
"Sherlock Jr.", 1924
"The Secret Life of Walter Mitty", 1947
"Artists and Models", 1955
"Billy Liar", 1963
"Tom, Dick and Harry", 1941
"The Feminine Touch", 1941
"The Story of Will Rogers", 1952
"Little Tinker", 1948
"Bermuda Cockleshells", 1957
"Believe It or Not #10", 1932
"Smugglers' Cove", 1948
"The Master Mind", 1931
"Leave Well Enough Alone", 1939
"Elephant Stampede", 1951
"Roaring Guns", 1944
"Say Amen, Somebody - The Good News Musical", 1982
"High Sierra", 1941
"Whiplash", 1948
"Operation Crossbow", 1965
"The Yakuza", 1974
"Raging Bull", 1980
"Without Pity", 1948
"Blonde Ice", 1948
"The Hunted", 1948
"Decoy", 1946
"Jack and the Beanstalk", 1952
"Tom Thumb", 1958
"Without Pity", 1948
"The Doughgirls", 1944
"The Reluctant Debutante", 1958
"Cabaret", 1972
"Seance on a Wet Afternoon", 1964
"The Wind and the Lion", 1975
"PT 109", 1963
"The Big Idea", 1917
"His Royal Slyness", 1920
"Captain Kidd's Kids", 1919
"A Sammy in Siberia", 1919
"From Hand to Mouth", 1919
"Silent Waters", 2003
"The Music Room", 1958
"A Patch of Blue", 1965
"The Learning Tree", 1969
"Sounder", 1972
"Lost Boundaries", 1949
"Intruder in the Dust", 1949
"A Raisin in the Sun", 1961
"The Autobiography of Miss Jane Pittman", 1974
"Nationtime", 1972
"I Am Somebody", 1970
"Boycott", 2001
"In the Heat of the Night", 1967
"Freedom on My Mind", 1994
"Crisis: Behind a Presidential Commitment", 1963
"Daughters of the Dust", 1991
"The Metro-Goldwyn-Mayer Story", 1950
"MGM Parade Show #23", 1955
"Black Legion", 1937
"Confessions of a Nazi Spy", 1939
"The Mortal Storm", 1940
"The Great Dictator", 1940
"The Seventh Cross", 1944
"Edge of Darkness", 1943
"Background to Danger", 1943
"Johnny Angel", 1945
"Nocturne", 1946
"Race Street", 1948
"Around the World in 80 Days", 1956
"Aggie Appleby, Maker of Men", 1933
"Cockeyed Cavaliers", 1934
"Carefree", 1938
"Melody Cruise", 1933
"Shall We Dance", 1937
"A Woman Rebels", 1936
"The Gay Divorcee", 1934
"Top Hat", 1935
"The Man Who Knew Too Much", 1934
"The 39 Steps", 1935
"Sabotage", 1936
"Young and Innocent", 1937
"The Lady Vanishes", 1938
"Becoming Hitchcock - The Legacy of Blackmail", 2024
"Foreign Correspondent", 1940
"The Beloved Rogue", 1927
"The Spy in Black", 1939
"Escape", 1940
"The Thief of Bagdad", 1940
"A Woman's Face", 1941
"All Through the Night", 1942
"Nazi Agent", 1942
"Merrily We Go to Hell", 1932
"A Foreign Affair", 1948
"All That Heaven Allows", 1955
"Guess Who's Coming to Dinner", 1967
"To Sleep with Anger", 1990
"King of the Roaring 20s: The Story of Arnold Rothstein", 1961
"Young Dillinger", 1965
"Dillinger", 1945
"Al Capone", 1959
"The Rise and Fall of Legs Diamond", 1960
"Bonnie and Clyde", 1967
"Dog Day Afternoon", 1975
"Oklahoma!", 1955
"Cabin in the Sky", 1943
"The Horn Blows at Midnight", 1945
"The Kid", 1921
"I Married an Angel", 1942
"Turn Back the Clock", 1933
"Oregon Passage", 1958
"Slap Happy Lion", 1947
"Chili and Chills", 1932
"Believe It or Not #11", 1932
"Paris Playboys", 1954
"The House of Secrets", 1931
"Wotta Nitemare", 1939
"The Golden Idol", 1954
"The Flame Song", 1934
"Evergreen", 1934
"The Big Sky", 1952
"Jim Thorpe--All American", 1951
"The Split", 1968
"The Wild North", 1952
"Rose Marie", 1954
"Woman on the Run", 1950
"If Winter Comes", 1948
"Winter Meeting", 1948
"Woman of the Year", 1942
"Designing Woman", 1957
"Woman on the Run", 1950
"Rachel, Rachel", 1968
"Somebody Up There Likes Me", 1956
"Cat on a Hot Tin Roof", 1958
"Hud", 1963
"Cool Hand Luke", 1967
"Nobody's Fool", 1994
"The Outlaw and His Wife", 1917
"The Double Life of Veronique", 1991
"Loves of a Blonde", 1966
"Filmmakers for the Prosecution", 2021
"Nuremberg", 1948
"Hitler's Executioners", 1958
"Shoah: Four Sisters", 2018
"The Juggler", 1953
"Exodus", 1960
"The Pawnbroker", 1965
"Sophie's Choice", 1982
