Title, Year
"Dames", 1934
"Two Guys from Texas", 1948
"Conflict", 1945
"The Bad and the Beautiful", 1952
"2001: A Space Odyssey", 1968
"The Treasure of the Sierra Madre", 1948
"Strange Brew", 1983
"My Favorite Duck", 1942
"Blues in the Night", 1941
"Notes to You", 1941
"Going Places", 1938
"Swooner Crooner", 1944
"Now, Voyager", 1942
"Hare Force", 1944
"Casablanca", 1942
"Daffy Duck and the Dinosaur", 1939
"Hard to Get", 1938
"Payment Deferred", 1932
"The Private Life of Henry VIII", 1933
"The Barretts of Wimpole Street", 1934
"Mutiny on the Bounty", 1935
"Stand By for Action", 1942
"This Land Is Mine", 1943
"Hobson's Choice", 1954
"Blood on the Moon", 1948
"Vertigo", 1958
"I Remember Mama", 1948
"Summertree", 1971
"The Long Night", 1947
"Show Boat", 1951
"Strike Up the Band", 1940
"Bathing Beauty", 1944
"Viva Las Vegas", 1964
"Seven Brides for Seven Brothers", 1954
"The Harvey Girls", 1946
"Take Me Out to the Ball Game", 1949
"Force of Evil", 1948
"Act of Violence", 1949
"Criss Cross", 1949
"Thieves' Highway", 1949
"Against All Odds", 1984
"Marlowe", 1969
"Judge Hardy and Son", 1939
"The Howards of Virginia", 1940
"The Scarlet Coat", 1955
"1776", 1972
"Yankee Doodle Dandy", 1942
"The Music Man", 1962
"Bunker Hill Bunny", 1950
"Born Free", 1966
"A Hard Day's Night", 1964
"Angel Face", 1953
"Stealing Home", 1988
"Independence Day", 1983
"Cass Timberlane", 1947
"The Bird Came C.O.D.", 1942
"The Reformer and the Redhead", 1950
"Angel Face", 1953
"Devil's Feud Cake", 1963
"Bringing Up Baby", 1938
"Texas Carnival", 1951
"Annie Get Your Gun", 1950
"Oklahoma!", 1955
"Soylent Green", 1973
"Escape From New York", 1981
"The Lighter That Failed", 1927
"Now I'll Tell One", 1927
"Us", 1927
"Never the Dames Shall Meet", 1927
"The White Balloon", 1995
"The Red Balloon", 1956
"Flying Down to Rio", 1933
"Hero at Large", 1980
"Norman... Is That You?", 1976
"Freebie and the Bean", 1974
"The Music Man", 1962
"Mister Buddwing", 1966
"The Subject Was Roses", 1968
"Running on Empty", 1988
"New Orleans", 1947
"Jailhouse Rock", 1957
"The World, the Flesh and the Devil", 1959
"Ocean's Eleven", 1960
"Muscle Beach Party", 1964
"Cabin in the Sky", 1943
"Going Hollywood", 1933
"Gold Diggers in Paris", 1938
"The Merry Widow", 1934
"Blonde Crazy", 1931
"Nobody Lives Forever", 1946
"The Sting", 1973
"I Love You Again", 1940
"Oscar Micheaux: The Superhero of Black Filmmaking", 2021
"Hell's Angels", 1930
"The Hitch-Hiker", 1953
"Glen or Glenda", 1953
"The Blood of Jesus", 1941
"Captain Fury", 1939
"Show of Shows", 1929
"Sinners' Holiday", 1930
"The Millionaire", 1931
"Alexander Hamilton", 1931
"The Man Who Played God", 1932
"A Successful Calamity", 1932
"Central Park", 1932
"The King's Vacation", 1933
"The Working Man", 1933
"Voltaire", 1933
"Two Mules for Sister Sara", 1970
"Heaven Knows, Mr. Allison", 1957
"The Nun's Story", 1959
"The Nun and the Sergeant", 1962
"The Singing Nun", 1966
"Cry of the Hunted", 1953
"The Phenix City Story", 1955
"Bad Day at Black Rock", 1955
"Heat Lightning", 1934
"Key Largo", 1948
"A Streetcar Named Desire", 1951
"The Night of the Iguana", 1964
"Hot Summer Night", 1957
"Sleepless in Seattle", 1993
"Philadelphia", 1993
"That Thing You Do!", 1996
"The 'Burbs", 1989
"Poltergeist", 1982
"Sherlock Jr.", 1924
"The Pace That Thrills", 1952
"Code Two", 1953
"The Gumball Rally", 1976
