Title, Year
"BUtterfield 8", 1960
"Smash-Up, the Story of a Woman", 1947
"The Big Steal", 1949
"Respect the Law", 1941
"An Affair to Remember", 1957
"The Sandpiper", 1965
"Rome Adventure", 1962
"When Ladies Meet", 1941
"Do the Right Thing", 1989
"Mo' Better Blues", 1990
"The Godless Girl", 1929
"Monsieur Hulot's Holiday", 1953
"Trafic", 1971
"A Shot in the Dark", 1941
"Tiger Bay", 1959
"The Wreck of the Mary Deare", 1959
"The Decks Ran Red", 1958
"The Ghost Ship", 1943
"Murder in the Fleet", 1935
"The Case of the Black Parrot", 1941
"Mad Holiday", 1936
"Murder Ahoy", 1964
"Make Way for Tomorrow", 1937
"Man of the West", 1958
"Cries and Whispers", 1972
"Rome, Open City", 1946
"The Seventh Victim", 1943
"MGM Parade Show #27", 1955
"6 Day Bike Rider", 1934
"The Big Store", 1941
"The Seventh Cross", 1944
"The Boy with Green Hair", 1948
"Tea and Sympathy", 1956
"Saturday Night and Sunday Morning", 1960
"Room for One More", 1952
"A Little Romance", 1979
"Some Like It Hot", 1959
"Sweet Smell of Success", 1957
"The Defiant Ones", 1958
"The Vikings", 1958
"The Great Race", 1965
"Bed of Roses", 1933
"Bachelor Bait", 1934
"The Meanest Gal in Town", 1934
"Sing and Like It", 1934
"Hooray for Love", 1935
"Lightning Strikes Twice", 1935
"Annie Oakley", 1935
"Kelly the Second", 1936
"Cain and Mabel", 1936
"Mr. Deeds Goes to Town", 1936
"The Pride of the Yankees", 1943
"The Adventures of Marco Polo", 1938
"Sergeant York", 1941
"The Fountainhead", 1949
"Gary Cooper: American Life, American Legend", 1991
"The Hunchback of Notre Dame", 1939
"The Secret Garden", 1949
"Home from the Hill", 1960
"The Scarlet Coat", 1955
"Merry Andrew", 1958
"Forbidden Planet", 1956
"Cinema Paradiso", 1988
"Ennio", 2021
"The Good, the Bad and the Ugly", 1968
"A Fistful of Dollars", 1964
"Yolanda and the Thief", 1945
"The Pirate", 1948
"Kismet", 1955
"Brigadoon", 1954
"Father of the Bride", 1950
"The Reluctant Debutante", 1958
"Bells Are Ringing", 1960
"A Face in the Crowd", 1957
"Elmer Gantry", 1960
"Catch Me If You Can", 2002
"When in Rome", 1952
"Blonde Crazy", 1931
"The Green-Eyed Blonde", 1957
"Bad Luck Blackie", 1949
"A Night at the Movies", 1937
"Basque Sports", 1957
"The Avenging Rider", 1943
"The Steaming Cauldron", 1938
"Doing Impossikible Stunts", 1940
"Bulldog Drummond's Bride", 1939
"Going to Blazes!", 1948
"Easy to Love", 1953
"Union Pacific", 1939
"The Long, Long Trailer", 1954
"Born Yesterday", 1950
"Carnival of Souls", 1962
"Rosemary's Baby", 1968
"The Undercover Man", 1949
"The Song Remains the Same", 1976
"Monterey Pop", 1969
"And God Created Woman", 1956
"Nadja in Paris", 1964
"Made in Paris", 1966
"The Undercover Man", 1949
"The Philadelphia Story", 1940
"Going My Way", 1944
"Murder She Said", 1961
"A Summer Place", 1959
"Apollo 13", 1995
"For All Mankind", 1989
"Girl Shy", 1924
"Playtime", 1967
"Paris Interlude", 1934
"The Constant Nymph", 1943
"Devotion", 1946
"Ivanhoe", 1952
"The Male Animal", 1942
"Until They Sail", 1957
"Hard to Get", 1938
"Suspicion", 1941
"The Two Mrs. Carrolls", 1947
"The Woman in White", 1948
"Escape Me Never", 1947
"Hotel Berlin", 1945
"The Great Jewel Robber", 1950
