Title, Year
"The Green Pastures", 1936
"MGM Parade Show #26", 1955
"It's a Mad, Mad, Mad, Mad World", 1963
"Inherit the Wind", 1960
"Guess Who's Coming to Dinner", 1967
"The Defiant Ones", 1958
"AFI Life Achievement Award: 50th Anniversary Special", 2023
"The Great Train Robbery", 1903
"The Invaders", 1912
"The Squaw Man", 1914
"The Iron Horse", 1924
"Tumbleweeds", 1925
"The Winning of Barbara Worth", 1926
"Sky High", 1922
"Musical Movieland", 1944
"Wait Until Dark", 1967
"The Goodbye Girl", 1977
"The Prisoner of Second Avenue", 1974
"Dear Heart", 1964
"So You Want an Apartment", 1948
"Boys' Night Out", 1962
"Sweet November", 1968
"Sunday in New York", 1963
"Poltergeist", 1982
"The Haunting", 1963
"Scanners", 1981
"Village of the Damned", 1960
"Children of the Damned", 1964
"The Biggest Bundle of Them All", 1968
"The Alley Cat", 1941
"The Fabulous Fraud", 1948
"Rambling 'Round Radio Row 5 (The Happiness Boys)", 1933
"Trail Guide", 1952
"Hi-Yo Silver", 1938
"Onion Pacific", 1940
"Bulldog Drummond's Peril", 1938
"Du cote de la cote", 1958
"Shine on Harvest Moon", 1944
"A Day at the Races", 1937
"The Story of Seabiscuit", 1949
"National Velvet", 1944
"The Band Wagon", 1953
"All That Jazz", 1979
"Riffraff", 1947
"The Thief Who Came to Dinner", 1973
"The Thief of Bagdad", 1940
"The Three Musketeers", 1973
"The Four Musketeers", 1974
"Riffraff", 1947
"The Importance of Being Earnest", 1952
"The Roman Spring of Mrs. Stone", 1961
"Light in the Piazza", 1962
"Cass Timberlane", 1947
"Night After Night", 1932
"She Done Him Wrong", 1933
"I'm No Angel", 1933
"The Adventures of Prince Achmed", 1926
"Chinese Odyssey 2002", 2002
"Walkabout", 1971
"Viva Villa!", 1934
"Sombrero", 1953
"The Girl from Mexico", 1939
"Mexican Spitfire", 1940
"Mexican Spitfire Out West", 1940
"The Mexican Spitfire's Baby", 1941
"Mexican Spitfire at Sea", 1942
"Mexican Spitfire Sees a Ghost", 1942
"Mexican Spitfire's Elephant", 1942
"Mexican Spitfire's Blessed Event", 1943
"Oklahoma!", 1955
"Carousel", 1956
"South Pacific", 1958
"Flower Drum Song", 1961
"The Flame and the Arrow", 1950
"The Light Touch", 1951
"The Beginning or the End", 1947
"Scene of the Crime", 1949
"The Green Years", 1946
"A Letter for Evie", 1945
"A Walk in the Sun", 1946
"Live from the TCM Classic Film Festival: Norman Lloyd", 2016
"The Big Trail", 1930
"Stagecoach", 1939
"Red River", 1948
"How the West Was Won", 1962
"The Mild West", 1933
"Joe Smith, American", 1942
"Citizen Kane", 1941
"A Face in the Crowd", 1957
"The Life of Emile Zola", 1937
"Meet John Doe", 1941
"The Candidate", 1972
"Freedom on My Mind", 1994
"The Girls", 1968
"Purple Noon", 1961
"The Vanishing", 1988
"In the Mood for Love", 2000
"Ikiru", 1952
"Glory Alley", 1952
"Pillow to Post", 1945
"Going Places", 1938
"Cabin in the Sky", 1943
"The Strip", 1951
"High Society", 1956
"Satchmo: The Life of Louis Armstrong", 1989
"New Orleans", 1947
"The Man from Laramie", 1955
"Ride Lonesome", 1959
"Forty Guns", 1957
"High Plains Drifter", 1973
"Hang 'Em High", 1968
"The Oklahoma Kid", 1939
"Whiplash", 1948
"The Smiling Ghost", 1941
"The Doughgirls", 1944
"The Woman in White", 1948
"Night and Day", 1946
"Any Number Can Play", 1949
"San Antonio", 1945
"The Swimmer", 1968
"A Streetcar Named Desire", 1951
"Duck Soup", 1933
"Not with My Wife, You Don't!", 1966
"Bachelor in Paradise", 1961
"Because You're Mine", 1952
"Barney Bear's Victory Garden", 1942
"Game Warden", 1955
"Rambling 'Round Radio Row 6 (Harry Rose)", 1934
"Dynamite Pass", 1950
"Thundering Earth", 1938
"Wimmin Is a Myskery", 1940
"Bulldog Drummond in Africa", 1938
"Time Out for Trouble", 1961
"All Night Long", 1963
"Dark Passage", 1947
"I Died a Thousand Times", 1955
"Get Carter", 1971
"The Manchurian Candidate", 1962
"Sweet Smell of Success", 1957
"The Killers", 1946
"Malcolm X", 1992
"The Magnificent Ambersons", 1942
"Gypsy", 1962
"The Killers", 1946
"Bachelor Mother", 1939
"Sounder", 1972
"I Remember Mama", 1948
"Mildred Pierce", 1945
"Belle of the Nineties", 1934
"Klondike Annie", 1936
"Go West Young Man", 1936
"Mary, Queen of Tots", 1925
"A Lady of Chance", 1928
"Valerie and Her Week of Wonders", 1970
"The Joke", 1969
"Little Women", 1933
"Stage Door", 1937
"Mary of Scotland", 1936
"Bringing Up Baby", 1938
"The Philadelphia Story", 1940
"Woman of the Year", 1942
"Adam's Rib", 1949
"Bonnie and Clyde", 1967
"The French Connection", 1971
"Hoosiers", 1986
"Mississippi Burning", 1988
"Night Moves", 1975
"Ziegfeld Follies", 1946
"Friendly Persuasion", 1956
"Scarecrow", 1973
"Paris, Texas", 1984
"Missing", 1982
"Union Pacific", 1939
"The Ox-Bow Incident", 1943
"Hombre", 1967
"The Great Silence", 1968
"Wichita", 1955
"Sergeant Rutledge", 1960
"The Méliès Mystery", 2021
"Metropolis", 1926
"Things to Come", 1936
"World Without End", 1955
"The Bed Sitting Room", 1969
"The World, the Flesh and the Devil", 1959
"Soylent Green", 1973
"Logan's Run", 1975
"Early Spring", 1956
