Title, Year
"Vampyr", 1932
"Tear Gas Squad", 1940
"The Perfect Crime", 1934
"Tarzan and the Green Goddess", 1938
"Torch Song", 1953
"Act of Violence", 1949
"The Thing from Another World", 1951
"Where Eagles Dare", 1968
"Bringing Up Baby", 1938
"Stage Door", 1937
"The Great Jewel Robber", 1950
"Chameleon Street", 1989
"From Darkness to Light", 2024
"Listen, Darling", 1938
"Little Nellie Kelly", 1940
"The Great Jewel Robber", 1950
"Homecoming", 1948
"The Mating Game", 1959
"The Heart Is a Lonely Hunter", 1968
"Sweet November", 1968
"The Mark of Zorro", 1920
"Show of Shows", 1929
"20,000 Years in Sing Sing", 1932
"Little Caesar", 1930
"Three on a Match", 1932
"42nd Street", 1933
"The Public Enemy", 1931
"Seven Days in May", 1964
"Papillon", 1973
"The Wind and the Lion", 1975
"Logan's Run", 1975
"Secrets of the French Police", 1932
"Lizzie", 1957
"Svengali", 1931
"The Sorcerers", 1967
"Phantom of the Rue Morgue", 1954
"The Garden Murder Case", 1936
"Fingers at the Window", 1942
"Winchester '73", 1950
"Giant", 1956
"Gun Fury", 1953
"Something of Value", 1957
"Ramona", 1928
"The Exiles", 1961
"Devil's Doorway", 1950
"Bearing Witness: Native American Voices in Hollywood", 2024
"Cheyenne Autumn", 1964
"The Day of the Jackal", 1973
"The Manchurian Candidate", 1962
"Blow Out", 1981
"Executive Action", 1973
"Bengal Tiger", 1936
"The Dark Tower", 1943
"Fixer Dugan", 1939
"Side Show", 1931
"Merry Andrew", 1958
"Rain or Shine", 1930
"Billy Rose's Jumbo", 1962
"The Big Circus", 1959
"Beau Geste", 1926
"A Tale of Two Cities", 1935
"Random Harvest", 1942
"Kismet", 1944
"The Story of Mankind", 1957
"Loose Ankles", 1930
"The Mad Miss Manton", 1938
"The Hot Heiress", 1931
"The Girl from Missouri", 1934
"Auntie Mame", 1958
"Party Girl", 1958
"BUtterfield 8", 1960
"Smart Girls Don't Talk", 1948
"The Wizard of Oz", 1939
"Romancing the Stone", 1984
"Jason and the Argonauts", 1963
"The Maltese Falcon", 1941
"Navy Blue and Gold", 1937
"Two Guys from Texas", 1948
"Tarzan the Cunning", 1934
"Tarzan's Revenge", 1938
"Macao", 1952
"The Boy with Green Hair", 1948
"The Wizard of Oz", 1939
"The Power of Film Episode 1: Popular and Memorable", 2023
"Imitation of Life", 1959
"The Learning Tree", 1969
"Blind Spot", 1947
"The Beggar's Opera", 1953
"The Prince and the Showgirl", 1957
"Devotion", 1946
"Pride and Prejudice", 1940
"Blind Spot", 1947
"The Letter", 1940
"The Magnificent Ambersons", 1942
"Giant", 1956
"Lili", 1953
"The Sin of Nora Moran", 1933
"The Mummy", 1932
"Tiger Shark", 1932
"Body and Soul", 1925
"Oscar Micheaux: The Superhero of Black Filmmaking", 2021
"Four Daughters", 1938
"The Adventures of Robin Hood", 1938
"Mr. Skeffington", 1945
"Passage to Marseille", 1944
"The Unsuspected", 1947
"Casablanca", 1942
"Who's Afraid of Virginia Woolf?", 1966
"The Robe", 1953
"The Night of the Iguana", 1964
"Villain", 1971
"They Were Expendable", 1945
"Mister Roberts", 1955
"The Dirty Dozen", 1967
"Sergeant York", 1941
"The Best Years of Our Lives", 1946
"Ice Station Zebra", 1968
"Bright Victory", 1951
"A Farewell to Arms", 1957
"Fighter Squadron", 1948
"Macao", 1952
"Berlin Express", 1948
"Journey Into Fear", 1942
"Background to Danger", 1943
"Passage to Marseille", 1944
"North by Northwest", 1959
"Gorky Park", 1983
"Fail Safe", 1964
"Murder on a Bridle Path", 1936
"The Case of the Black Cat", 1936
"The Casino Murder Case", 1935
"Ten Little Indians", 1966
"Murder She Said", 1961
"The Last of Sheila", 1973
"After the Thin Man", 1936
"The Invention of Cinema: Cinema Finds its Voice", 2022
"Singin' in the Rain", 1952
"Blackmail", 1929
"Becoming Hitchcock - The Legacy of Blackmail", 2024
"Hallelujah", 1929
"What Every Woman Knows", 1934
"Sylvia Scarlett", 1935
"Smart Woman", 1948
"The Locket", 1946
"First Comes Courage", 1943
"The Great Garrick", 1937
"My Sister Eileen", 1942
"What a Woman!", 1943
"Brazil", 1985
"Monty Python and the Holy Grail", 1975
"Monty Python's Life of Brian", 1979
"The Lady Takes a Sailor", 1949
"River's End", 1940
"The Enemy's Stronghold", 1934
"Tarzan Finds a Son!", 1939
"Invitation to the Dance", 1956
"Merrill's Marauders", 1962
"The Set-Up", 1949
"Touch of Evil", 1958
"The Power of Film Episode 2: Trapped", 2023
"Scarecrow", 1973
"Dog Day Afternoon", 1975
"High and Low", 1963
"Caged", 1950
"Ladies They Talk About", 1933
"One Sunday Afternoon", 1948
"High and Low", 1963
"Royal Wedding", 1951
"The Rounders", 1965
"The Birds", 1963
"The Big Lebowski", 1998
"The Fabulous Baker Boys", 1989
"The Cheat", 1915
"Lola", 1981
"Ring of Fire", 1961
"Man Hunt", 1936
"On Dangerous Ground", 1952
"Rancho Notorious", 1952
"High Sierra", 1941
"Dark Passage", 1947
"Vertigo", 1958
"Funeral Parade of Roses", 1970
"Cat People", 1942
"Camelot", 1967
"Alfred The Great", 1969
"The Walking Stick", 1970
"The Best House in London", 1969
"Magnificent Obsession", 1954
"All That Heaven Allows", 1955
"Written on the Wind", 1957
"The Tarnished Angels", 1958
"A Fine Pair", 1969
"Mauvaise Graine", 1934
"Ninotchka", 1939
"The Spirit of St. Louis", 1957
"Irma la Douce", 1963
"Witness for the Prosecution", 1957
"The Odessa File", 1974
"Man Hunt", 1941
"36 Hours", 1964
"The Return of Dr. X", 1939
"Backfire", 1950
"The Man Who Talked Too Much", 1940
"Saturday's Children", 1940
"Janie Gets Married", 1946
"In Our Time", 1944
"All Through the Night", 1942
"Flight from Destiny", 1941
