Title, Year
"Little Women", 1949
"Summertime", 1955
"South Pacific", 1958
"Count Your Blessings", 1959
"Light in the Piazza", 1962
"Rome Adventure", 1962
"The Bobo", 1967
"Queen Bee", 1955
"The Nanny", 1965
"The Honeymoon Killers", 1970
"Cast a Dark Shadow", 1955
"Diabolique", 1955
"Obsession", 1949
"Strangers on a Train", 1951
"The Browning Version", 1951
"The Actress", 1953
"Tea and Sympathy", 1956
"Look Back in Anger", 1959
"Sweet Bird of Youth", 1962
"The Connection", 1961
"Lon Chaney: A Thousand Faces", 2000
"Man of a Thousand Faces", 1957
"The Phantom of the Opera", 1925
"He Who Gets Slapped", 1924
"Laugh, Clown, Laugh", 1928
"The Blackbird", 1926
"Return from Nowhere", 1944
"Village of the Damned", 1960
"Children of the Damned", 1964
"Batman vs. Wizard", 1949
"Dr. Kildare's Victory", 1942
"Shiver Me Timbers!", 1934
"Ghosks is the Bunk", 1939
"Billy Rose's Jumbo", 1962
"Hell Drivers", 1957
"The Little Shop of Horrors", 1960
"Monsieur Verdoux", 1947
"Out of the Past", 1947
"The Set-Up", 1949
"Loophole", 1954
"The Great Santini", 1979
"The Betsy", 1978
"Woman of the Year", 1942
"Designing Woman", 1957
"Loophole", 1954
"Operation Crossbow", 1965
"It's Always Fair Weather", 1955
"Ninotchka", 1939
"Deep Valley", 1947
"All the President's Men", 1976
"The Manchurian Candidate", 1962
"Battleship Potemkin", 1925
"Three Colors: Blue", 1993
"Three Colors: White", 1994
"The Metro-Goldwyn-Mayer Story", 1950
"Noah's Ark", 1928
"The Squall", 1929
"The Great Divide", 1929
"Show of Shows", 1929
"The Truth About Youth", 1930
"The Naughty Flirt", 1930
"Consolation Marriage", 1931
"Rebound", 1931
"Libeled Lady", 1936
"I Love You Again", 1940
"Love Crazy", 1941
"Double Wedding", 1937
"Evelyn Prentice", 1934
"Manhattan Melodrama", 1934
"The Great Ziegfeld", 1936
"A Midsummer Night's Dream", 1935
"Hitler's Madman", 1943
"Escape from East Berlin", 1962
"Friendly Persuasion", 1956
"Fury", 1936
"And Then There Were None", 1945
"Murder She Said", 1961
"The Kennel Murder Case", 1933
"Suspicion", 1941
"The Case of the Curious Bride", 1935
"The Case of the Howling Dog", 1934
"MGM Parade Show #13", 1955
"The Prisoner of Zenda", 1937
"The Scarlet Pimpernel", 1934
"The Glass Slipper", 1955
"When in Rome", 1952
"You Can't Fool Your Wife", 1940
"Quality Street", 1937
"The Guardsman", 1931
"Hero at Large", 1980
"Matinee", 1993
"The 'Burbs", 1989
"The Howling", 1981
"Eyes of a Stranger", 1981
"The First Deadly Sin", 1980
"Jupiter's Darling", 1955
"The Last Days of Pompeii", 1935
"Caesar and Cleopatra", 1945
"Julius Caesar", 1953
"Barabbas", 1962
"Spartacus", 1960
"They Shoot Horses, Don't They?", 1969
"Lifeboat", 1944
"The Blob", 1958
"Fiend Without a Face", 1958
"The Thing from Another World", 1951
"Them!", 1954
"First Man into Space", 1959
"Jour De Fete", 1949
"Monsieur Hulot's Holiday", 1953
"Mon Oncle", 1958
"Flamingo Road", 1949
"A Lion Is in the Streets", 1953
"A Face in the Crowd", 1957
"Patterns", 1956
"Boorman and the Devil", 2025
"Exorcist II: The Heretic", 1977
"Hope and Glory", 1987
"Point Blank", 1967
"In My Country", 2004
"Microscopic Mysteries", 1932
"The Green Slime", 1969
"The Haunted Strangler", 1958
"Batman Victorious", 1949
"Calling Dr. Gillespie", 1942
"Haredevil Hare", 1948
"Duck Dodgers in the 24½th Century", 1953
"Jumpin' Jupiter", 1955
"Funny Lady", 1975
"Giant", 1956
"The Asphalt Jungle", 1950
"Nights of Cabiria", 1957
"Babette's Feast", 1987
"Crime Wave", 1954
"S.O.B.", 1981
"10", 1979
"A Fine Pair", 1969
"They Came to Rob Las Vegas", 1968
"Crime Wave", 1954
"Lust for Life", 1956
"The Naked Kiss", 1964
"Dead Ringer", 1964
"The Bad Seed", 1956
"Back Street", 1932
"King of Jazz", 1930
"The Oath of the Sword", 1914
"Apart from You", 1933
"Three Colors: Red", 1994
"Camera Buff", 1979
"Tugboat Annie", 1933
"Emma", 1932
"Vanity Fair", 1932
"The Wet Parade", 1932
"New Morals for Old", 1932
"Love Me Tonight", 1932
"Thirteen Women", 1932
"The Mask of Fu Manchu", 1932
"The Animal Kingdom", 1932
"The Thin Man", 1934
"After the Thin Man", 1936
"Another Thin Man", 1939
"Shadow of the Thin Man", 1941
"The Thin Man Goes Home", 1945
"Song of the Thin Man", 1947
"Calling Dr. Kildare", 1939
"Foreign Correspondent", 1940
"The Bad Man", 1941
"Journey for Margaret", 1942
"Mr. Lucky", 1943
"Bride By Mistake", 1944
"The Locket", 1946
"The Woman on Pier 13", 1949
"MGM Parade Show #13", 1955
"All That Heaven Allows", 1955
"Leave Her to Heaven", 1945
"The Trouble with Harry", 1955
"The Cobweb", 1955
"The Daytrippers", 1996
"Sweet November", 1968
"Outward Bound", 1930
"Smilin' Through", 1932
"Romeo and Juliet", 1936
"The Petrified Forest", 1936
"It's Love I'm After", 1937
"Pygmalion", 1938
"49th Parallel", 1941
"Monty Python and the Holy Grail", 1975
"Monty Python's Life of Brian", 1979
"Yentl", 1983
"What's Up, Doc?", 1972
"Elmer the Great", 1933
"Random Harvest", 1942
"Anthony Adverse", 1936
"They Won't Forget", 1937
"I Am a Fugitive from a Chain Gang", 1932
"Little Caesar", 1930
"Thirty Seconds Over Tokyo", 1944
"Gaslight", 1944
