Title, Year
"Louisiana Story", 1948
"Carnival Story", 1954
"Exclusive Story", 1936
"The FBI Story", 1959
"Gangster Story", 1959
"Tall Story", 1960
"The Stratton Story", 1949
"The Philadelphia Story", 1940
"The Adventures of Robin Hood", 1938
"Captain Blood", 1935
"The Scarlet Pimpernel", 1934
"The Prisoner of Zenda", 1937
"The Prince and the Pauper", 1937
"The Three Musketeers", 1935
"Treasure Island", 1934
"The Bachelor Father", 1931
"Bachelor Apartment", 1931
"Bachelor Bait", 1934
"Married Bachelor", 1941
"The Bachelor and the Bobby-Soxer", 1947
"Bachelor in Paradise", 1961
"Atlantic City", 1980
"Bull Durham", 1988
"Dead Man Walking", 1995
"The Front Page", 1974
"The Hunger", 1983
"Salt of the Earth", 1954
"Modern Times", 1936
"Riffraff", 1936
"Black Fury", 1935
"Juke Girl", 1942
"Edge of the City", 1957
"Millions Like Us", 1943
"The Whistle at Eaton Falls", 1951
"Killer's Kiss", 1955
"Day of the Fight", 1951
"The Killing", 1956
"Flying Padre", 1951
"Paths of Glory", 1957
"Fear and Desire", 1952
"Battleship Potemkin", 1925
"Strike", 1925
"Film Geek", 2023
"Make Way for a Lady", 1936
"Twice Blessed", 1945
"Three Daring Daughters", 1948
"The Courtship of Eddie's Father", 1963
"Les Girls", 1957
"South Pacific", 1958
"Charles Grodin: Rebel with a Cause", 2025
"Midnight Run", 1988
"11 Harrowhouse", 1974
"Seems Like Old Times", 1980
"The Woman in Red", 1984
"You, John Jones!", 1943
"Algiers", 1938
"The Man Who Knew Too Much", 1934
"Batman's Last Chance", 1949
"Dr. Kildare Goes Home", 1940
"The Foghorn Leghorn", 1948
"The Leghorn Blows at Midnight", 1950
"Lovelorn Leghorn", 1951
"Seven Brides for Seven Brothers", 1954
"The Cincinnati Kid", 1965
"Hooper", 1978
"A Little Romance", 1979
"Fat City", 1972
"Inside Moves", 1980
"The Yellow Canary", 1963
"Operation Daybreak", 1975
"Zeppelin", 1971
"The Young Runaways", 1968
"The Bad Seed", 1956
"The Yellow Canary", 1963
"The Loneliness of the Long Distance Runner", 1962
"Our Miss Brooks", 1956
"All This, and Heaven Too", 1940
"The Harvey Girls", 1946
"American Graffiti", 1973
"More American Graffiti", 1979
"Steamboat Bill Jr.", 1928
"Amarcord", 1973
"Il bidone", 1955
"The Kissing Bandit", 1949
"Love Is a Ball", 1963
"The Singing Nun", 1966
"Fiesta", 1947
"On an Island with You", 1948
"Neptune's Daughter", 1949
"Two Weeks with Love", 1950
"Border Incident", 1949
"Mystery Street", 1950
"Battleground", 1949
"My Man and I", 1952
"Right Cross", 1950
"Old Acquaintance", 1943
"Love Crazy", 1941
"The Long, Long Trailer", 1954
"Days of Wine and Roses", 1962
"Yours, Mine and Ours", 1968
"Who's Afraid of Virginia Woolf?", 1966
"The Way We Were", 1973
"The Mark of Zorro", 1940
"The Black Swan", 1942
"The Exile", 1947
"The Sea Hawk", 1940
"The Spanish Main", 1945
"Adventures of Don Juan", 1948
"The Wicked Lady", 1945
"The Three Musketeers", 1948
"The Pirate", 1948
"MGM Parade Show #11", 1955
"Look in Any Window", 1961
"Fingers at the Window", 1942
"The Window", 1949
"Rear Window", 1954
"Obsession", 1949
"You Never Can Tell", 1951
"Umberto D.", 1952
"The Artist", 2011
"The Great Race", 1965
"Tribute to a Bad Man", 1956
"Executive Suite", 1954
"Blood on the Moon", 1948
"Born to Kill", 1947
"The Set-Up", 1949
"This Could Be the Night", 1957
"Odds Against Tomorrow", 1959
"The Haunting", 1963
"Spartacus", 1960
"Lolita", 1962
Dr. Strangelove or: How I Learned to Stop Worrying and Love
"Metropolis", 1926
"42nd Street", 1933
"Gold Diggers of 1933", 1933
"On the Town", 1949
"Lullaby of Broadway", 1951
"I Love Melvin", 1953
"My Sister Eileen", 1955
"Bells Are Ringing", 1960
"Ennio", 2021
"A Fistful of Dollars", 1964
"The Great Silence", 1968
"The Mission", 1986
"The Battle of Algiers", 1966
"The Time Machine", 1960
"Robin's Ruse", 1949
"Dr. Kildare's Crisis", 1940
"Odor of the Day", 1948
"The Cats Bah", 1954
"Touché and Go", 1957
"The Strip", 1951
"The Big Sleep", 1946
"Action in the North Atlantic", 1943
"The Americanization of Emily", 1964
"Kanal", 1957
"Salvatore Giuliano", 1962
"Jeopardy", 1953
"Executive Action", 1973
"St. Ives", 1976
"The Fastest Guitar Alive", 1967
"Spade Cooley King of Western Swing", 1945
"Bob Wills and His Texas Playboys", 1944
"A Time to Sing", 1968
"Jeopardy", 1953
"Canary Row", 1950
"Gift Wrapped", 1952
"Hare Trimmed", 1953
"Father's Little Dividend", 1951
"Cat on a Hot Tin Roof", 1958
"Make Way for Tomorrow", 1937
"Crossing Delancey", 1988
"Now Hear This", 1962
"Withnail and I", 1987
"The Women", 1939
"So This Is Paris", 1926
"Through a Glass Darkly", 1961
"Hour of the Wolf", 1968
"MGM Parade Show #11", 1955
"So This Is College", 1929
"Gridiron Flash", 1934
"Student Tour", 1934
"Spring Madness", 1938
"She's Working Her Way Through College", 1952
"Freshman Love", 1936
"Girl Crazy", 1943
"College Coach", 1933
"Too Many Girls", 1940
"Latin Lovers", 1953
"Madame X", 1966
"Sayonara", 1957
"The Reluctant Saint", 1962
"Sombrero", 1953
"Wyoming", 1940
"Parachute Jumper", 1933
"The Band Plays On", 1934
"The Winning Ticket", 1935
"In Caliente", 1935
"The Girl of the Golden West", 1938
"Moonlight Murder", 1936
"The Gay Bride", 1934
"The Gay Desperado", 1936
"Against All Flags", 1952
"The Crimson Pirate", 1952
"Moonfleet", 1955
"Cyrano de Bergerac", 1950
"The Master of Ballantrae", 1953
"Ivanhoe", 1952
"Scaramouche", 1952
"Quentin Durward", 1955
"Fan-Fan the Tulip", 1952
"The Bad and the Beautiful", 1952
"The Legend of Lylah Clare", 1968
"Untamed Youth", 1957
"Teenage Doll", 1957
"The Graduate", 1967
"The Miracle Worker", 1962
"The Pumpkin Eater", 1964
"The Prisoner of Second Avenue", 1974
"The Sunshine Boys", 1975
"Arena", 1953
"Banjo", 1947
"Child of Divorce", 1946
"Bodyguard", 1948
"Trapped", 1949
"Follow Me Quietly", 1949
"Armored Car Robbery", 1950
"The Narrow Margin", 1952
"The Last Run", 1971
"Soylent Green", 1973
"2001: A Space Odyssey", 1968
"A Clockwork Orange", 1971
"Barry Lyndon", 1975
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles", 1975
"Romance", 1930
"Mata Hari", 1931
"Susan Lenox: Her Fall and Rise", 1931
"Anna Karenina", 1935
"Conquest", 1937
"Ninotchka", 1939
"Two-Faced Woman", 1941
"Beyond the Border: Latino Representation in Hollywood", 2026
"My Family", 1995
"Giant", 1956
"Bordertown", 2007
"A Night at the Opera", 1935
"At the Circus", 1939
"Robin Rides the Wind", 1949
"The People vs. Dr. Kildare", 1941
"A Gander at Mother Goose", 1940
"Red Riding Hoodwinked", 1955
"Goldimouse and the Three Cats", 1960
"The Blues Accordin' to Lightnin' Hopkins", 1970
"Hot Pepper", 1973
"They Came to Rob Las Vegas", 1968
"Springfield Rifle", 1952
"I Died a Thousand Times", 1955
"To Sir, with Love", 1967
"A Piece of the Action", 1977
"The Long Night", 1947
"Badlands", 1973
"Gun Crazy", 1950
"Wise Guys", 1986
"Fever Pitch", 1985
"The Long Night", 1947
"Victim", 1961
"Baby Doll", 1956
"The Band Wagon", 1953
"Triple Cross", 1966
"Easter Parade", 1948
"Being There", 1979
"Character Studies", 1927
"A Flirt's Mistake", 1914
"The Rounders", 1914
"The Movies", 1925
"A Day's Pleasure", 1919
"The Young Girls of Rochefort", 1967
"The Umbrellas of Cherbourg", 1964
"All Mine to Give", 1957
"The Cobweb", 1955
"A Summer Place", 1959
"Invitation", 1952
"A Life of Her Own", 1950
"Cat on a Hot Tin Roof", 1958
"East of Eden", 1955
"Across the Wide Missouri", 1951
"The Mark of the Renegade", 1951
"The Saracen Blade", 1954
"Cheyenne Autumn", 1964
"How the West Was Won", 1962
"The Hard Way", 1943
"Old Acquaintance", 1943
"Pillow to Post", 1945
"Nora Prentiss", 1947
"Backfire", 1950
"The Damned Don't Cry", 1950
"The Young Philadelphians", 1959
"The Four Musketeers", 1974
"Robin and Marian", 1976
"Swashbuckler", 1976
"Sword of Sherwood Forest", 1960
"The Pirates of Blood River", 1962
"Seven Seas to Calais", 1962
"Swordsman of Siena", 1962
"The Red Danube", 1949
"If Winter Comes", 1948
"The Secret Heart", 1946
"These Wilder Years", 1956
"Forbidden Planet", 1956
"Mrs. Miniver", 1942
"Chuck Amuck: The Movie", 1991
"Rabbit of Seville", 1950
"Duck Dodgers in the 24½th Century", 1953
"One Froggy Evening", 1955
"Gay Purr-ee", 1962
"Duck Amuck", 1953
"Feed the Kitty", 1952
"What's Opera, Doc?", 1957
"The Phantom Tollbooth", 1970
"The Scarlet Pumpernickel", 1950
"For Scent-imental Reasons", 1949
"Haredevil Hare", 1948
"Vertigo", 1958
"Night Must Fall", 1964
"Chandler", 1971
"The Story of Three Loves", 1953
"Gaby", 1956
"The Glass Slipper", 1955
"Lili", 1953
"Gigi", 1958
"An American in Paris", 1951
"The Shining", 1980
"Full Metal Jacket", 1987
"Eyes Wide Shut", 1999
"The Rules of the Game", 1939
"Dark Delusion", 1947
"So You Think You're a Nervous Wreck", 1946
"Gaslight", 1944
"High Wall", 1947
"Bewitched", 1945
"Mental Poise", 1938
"Experiment Perilous", 1944
"The Two Mrs. Carrolls", 1947
"Where Danger Lives", 1950
"Bedlam", 1946
"The Tramp and the Dictator", 2002
"The Great Dictator", 1940
"To Be or Not to Be", 1942
"The Producers", 1967
"Once Upon a Honeymoon", 1942
"Which Way to the Front?", 1970
"Hold Your Man", 1933
"China Seas", 1935
"The Wizard's Challenge", 1949
"Dr. Kildare's Wedding Day", 1941
"The Trial of Mr. Wolf", 1941
"The Turn-Tale Wolf", 1952
"Three Little Bops", 1957
"Roberta", 1935
"Limelight", 1952
"The Late Show", 1977
"The Last Run", 1971
"La Cage aux Folles", 1978
"Some Like It Hot", 1959
"Ace in the Hole", 1951
"Taste the Blood of Dracula", 1970
"Dracula A.D. 1972", 1972
"King Solomon's Mines", 1950
"Doc Savage: The Man of Bronze", 1975
"Ace in the Hole", 1951
"Castle on the Hudson", 1940
"Love Crazy", 1941
"Flower Drum Song", 1961
"The Unsinkable Molly Brown", 1964
"Cat-Tails for Two", 1953
"Arabian Nights", 1942
"Speedy Gonzales", 1955
"Cobra Woman", 1944
"The Godless Girl", 1928
"An Autumn Afternoon", 1962
"Autumn Sonata", 1978
"Madame Satan", 1930
"The Secret of Madame Blanche", 1933
"The Earrings of Madame De...", 1954
"Madame Bovary", 1949
"Monsieur Verdoux", 1947
"Mademoiselle Fifi", 1944
"Madame X", 1937
"Monsieur Hulot's Holiday", 1953
"Let No Man Write My Epitaph", 1960
"Escape from the Planet of the Apes", 1971
"Star Trek II: The Wrath of Khan", 1982
"Sol Madrid", 1968
"The Train Robbers", 1973
"Camille", 1921
"Camille", 1936
"The Unholy Three", 1925
"The Unholy Three", 1930
"Dr. Jekyll and Mr. Hyde", 1920
"Dr. Jekyll and Mr. Hyde", 1931
"The Hunchback of Notre Dame", 1923
"The Hunchback of Notre Dame", 1939
"The Three Musketeers", 1921
"The Mark of Zorro", 1920
"The Sea Hawk", 1924
"The Beloved Rogue", 1927
"Scaramouche", 1923
"The Prisoner of Zenda", 1922
"Bathing Beauty", 1944
"The Harvey Girls", 1946
"Cass Timberlane", 1947
"Key to the City", 1950
"Show Boat", 1951
"Young Bess", 1953
"The Day the Earth Caught Fire", 1961
"Silent Running", 1972
"No Blade of Grass", 1970
"Them!", 1954
"The Swarm", 1978
"MGM Parade Show #11", 1955
